numero;description
164;"(Pl. 146). — Inscription grecque archaïque. Lame de bronze oblongue, percée de quelques trous de scellement et portant une légende gravée en sept lignes: [3]εσαυρόν [; τὸ]ν; τᾶς; Ἀβαναίας; αἱ τις τις; [ἐ τ]άν; βαλάν; τῶν; ἀνῷ Ἀρίσστονα; ἐ τὸν(ς) συναρτύοντας [ἐ ἄ]λλον τινά ταμίαν εὐβύνοι; τέλος ἐχον; ἐ διαάσ- [ζο]ι; ἐ διαάσζαιτο (sic); τῶν γρασπμάτων; ἡένεκα τᾶς; καταβέσιος; ἐ τᾶς; ἀλεάσσιος; τρέτο καὶ δαμενέσαβο; ἐνς Ἀβαναίαν; ἐμ δὲ βολὰ ποτελάτο; ἐμντιτυχένσα; αἱ δὲ καὶ μὲ; αὐτοὶ; ἔνοχοι ἔντο; ἐνς Ἀβαναίαν. L'alphabet est de très ancien style, avec un béta tout à fait primitif et le lambda caractéristique des inscriptions d'Argos; le dialecte aussi est celui de l'Argolide, proche parent du dialecte crétois. Mais l'explication du texte se heurte contre de sérieuses difficultés. À l'époque où ce texte fut gravé, c'est-à-dire au VIe siècle, la ville d'Argos était affaiblie, autant par des guerres incessantes contre ses voisins que par des discordes civiles. Il est 128 BRONZES GRECS ET ROMAINS possible que, dans un moment de crise, on ait disposé plus ou moins illégalement du trésor sacré de Minerve, et que les magistrats qui avaient consenti à cet acte arbitraire aient voulu s'assurer l'impunité au moyen d'une loi. Mais la rédaction de la loi, à force de vouloir préciser tous les moyens possibles de revendication, est devenue très obscure, pour nous, du moins, qui ne savons rien de la procédure criminelle en usage dans la ville d'Argos. Quant au trésor de Minerve, dit l'inscription, si jamais quelque magistrat (τέλος ἔχων) s'avisait d'en demander compte, soit au Sénat présidé par Ariston, soit au Collège des Artynes ou à un des trésoriers, ou qu'il le jugeât, ou qu'il lui intentât un procès à cause de l'affichage du jugement (κατάθεσις τῶν γραμμάτων), ou de la fixation du jour de séance (ἀλίασσις) du tribunal: il sera envoyé en exil (τρείτω), et ses biens seront confisqués au profit de Minerve. Le Sénat en exercice y aidera; sinon, les sénateurs seront eux-mêmes responsables envers Minerve. On lit une formule analogue dans un décret athénien de l'an 413: ἐὰν δὲ τις τούτων χάριν ἢ ζημιοῖ ἢ προσκαλῆται ἢ εἰσάγη εἰς δικαστάριον, ἐνδείξιν αὐτοῦ εἶναι καὶ ἀπαγωγὲν πρὸς τοὺς στρατηγούς, τοὺς δὲ στρατηγούς παραδοῦναι τοῖς ἐνδεκα ἀπνίτην ζημιῶσαι (Aristote, Ἀδην. πολιτεία, p. 33, éd. Kaibel et Wilamowitz, 3ᵉ édition). Trouvée à Hermione (?). Frœhner, Revue arch. 1891, t. XVIII, 50. Collection Tyszkiewicz, pl. 23. Catalogue de la vente Tyszkiewicz, n. 162 (pl. 20). — Monumenti antichi de l'Académie des Lincei, t. I, 593 (C. Robert). D'après la Revue arch. 1891, t. I, 393, M. Robert aurait donné, verbalement, dans une séance des Lincei, une interprétation toute différente de celle qui a été publiée. On y parle du « détail des indemnités à accorder à la Commission chargée d'inventorier un temple d'Athéné. » Je préfère croire que l'auteur de cette note a mal compris. — Revue des Études grecques, IV (1891), p. 171. V, 357 (Th. Reinach). — Neue Jahrbücher für Philologie 1891, p. 557 (Blass). — Wochenschrift für klassische Philologie 1891, p. 859 (R. Peppmüller). — Anzeiger für indogermanische Sprachund Altertumskunde 1892, BRONZES GRECS ET ROMAINS 129 p. 200 (Meister). — Berliner philol. Wochenschrift 1892, p. 258 (Meister: der ἀρέστων in Argos). — Rœhl, Imagines inscript. graec. antiq., 2ᵉ édition (Berlin, 1894) p. 67. — Danielsson, dans l'Eranos suédois (Upsala, 1896), t. I, 28. — U. von Wilamowitz-Mœllendorff, Euripides Herakles, t. IP, 103. Haut. 0.078. Larg. 0.25. — Patine verte rugueuse. Il a fallu plusieurs nettoyages pour arriver à une lecture à peu près certaine du texte. M. Robert a profité seul d'un premier nettoyage fait à Rome; δικάσζαιτο est certain, l'o vu par M. Halbherr (δικάσζοιτο) était une tache de patine."
165;"(Pl. 147). — Tessère judiciaire. Lamelle de bronze oblongue, ayant appartenu à un des six mille juges du tribunal d'Athènes. L'inscription: Δ’Ἀντερῶν Ἄλαιεὺς nous apprend le nom du juge, sans patronymique, et le dème (Halœ) d'où il était originaire; mais comme il y avait deux dèmes de ce nom, ‘Ἀλαι’ Ἀραφενέδες et ‘Ἀλαι’ Αἰξονείδες, l'indication n'est pas suffisamment précise. Le chiffre Δ indique la cour — il y en avait 10 ou 12 — dans laquelle il siégeait. Aristote, dans l’Ἀβεναιων πολιτεία, à la fin du Ier livre, parle de ces tessères: ἔχει δ’ἐκαστὸς δικαστὰς πινάκιον πύξινον, ἐπιγεγραμμένον τὸ ὄνομα τὸ ἐκοτὸς πατρόβεν καὶ τοῦ δέμου καὶ γράμ[μα] ἐν τῶν στοιχείων μέχρι τοῦ κ’. Jusqu'ici, on n'en a pas trouvé qui soient en buis; toutes celles que nous possédons sont en bronze; cela nous ramène au lexique d'Hésychius qui appelle χαλκοῦν πινάκιον ce même πινάκιον πύξινον, sans se douter de la différence. Comme beaucoup d'autres, notre tessère porte de nombreuses traces d'une inscription antérieure qui a été martelée pour faire place à celle-ci. Le second N est d'une forme plus archaïque que le premier. Vente Eugène Piot (1890), n. 59. Long. 0.12. 130 BRONZES GRECS ET ROMAINS"
166;"(Pl. 147). — Plaque de carcan d'esclave, de forme orbiculaire, portant l'inscription suivante: ASELLVS · SE RVVS PRAEIECTI · OFFICIALIS · PRAEFEC TI · ANNONES · FORAS MV RV · EXIVI · TENE ME QVIA · FVGI REDVC ME · AD FLORA AD TOSOR ES « Moi, Asellus, esclave de Praeiectus, commissaire du Préfet de l'Approvisionnement, j'ai franchi le mur [foras murum] de Rome. Arrête-moi, parce que je me suis enfui; reconduis-moi à Flora (c'est-à-dire au Temple de Flora, sur le mont Quirinal), chez les barbiers, ou dans la rue des Barbiers. » IVᵉ siècle. — Trouvée près de Velletri. Mittheilungen des rœm. Institutes 1891, p. 341 (Huelsen, d'après un estampage défectueux). — Frachner, Cat. de la vente Tyszkiewicz (1898), n. 164. — Corpus inscript. lat. XV, 2, 7172 (Dressel). Diam. 0.056. — Belle patine bleu et vert; quatre trous d'attache. # BRONZES ÉTRUSQUES DECLASSIFIED Authority RF 74365"
167;"(Pl. 148). — Groupe figurant un guerrier étrusque debout près d'une femme voilée. Le guerrier est un adolescent, imberbe, coiffé d'un casque à cimier, dont les mentonnières sont relevées; sous sa cuirasse, qui simule le modelé de la poitrine humaine, il porte une tunique courte et un pagne arrondi sur le devant; sa jambe gauche, nue, s'avance sur l'autre; sa main droite tient une épée à double tranchant, sa main gauche repose sur l'épaule de la femme. Celle-ci, un peu moins grande que l'homme, porte sous son manteau-voile une tunique longue, et par-dessus la tunique un corsage de laine. Sa main droite abaissée et sa gauche levée tiennent les bords du manteau; sa jambe gauche est légèrement en retrait; ses pieds sont nus. Le bronze est de même facture que notre n° 82, c'est-à-dire qu'il remonte à l'époque où l'archaïsme de beau style produisait des ouvrages d'une haute valeur et d'une incomparable finesse d'exécution. Base ronde antique, moulurée et ornée d'un rang de perles. Patine bleu et vert. — Trouvé à Cività Castellana. Publié dans le catalogue de la vente Tyszkiewicz (Paris, 1898), n. 122 (pl. XI). Haut. 0.112. — Socle en porphyre. BRONZES ÉTRUSQUES"
168;(Pl. 149). — Déesse étrusque de style très ancien (VIe siècle). Elle est vêtue d'une robe longue, serrant étroitement le corps, comme font les robes égyptiennes, et chaussée de souliers à la pouline. Une bandelette est nouée autour de son diadème. Les bras pendent le long des flancs, symétriquement, la paume de la main droite tournée au dehors, la main gauche pinçant la robe. Les pieds s'écartent à peine, et la jambe gauche s'avance un peu sur l'autre. Les cheveux, épars, retombent jusqu'au dos, y formant comme un plastron. Haut. 0.136. — Patine verte, luisante. — Base plate.
169;(Pl. 149). — Discobole, figurine d'ancien style. Un jeune homme, nu entièrement, est debout, tenant un disque à sa main droite abaissée. Déjà, il fléchit le genou, son bras gauche replié se lève, et sa jambe droite se porte en arrière, en même temps que la tête s'incline du côté du disque. L'artiste a omis de ciseler les cheveux, mais la bandelette qui les entoure est indiquée. En réunissant sur une même feuille les discoboles grecs et étrusques épars dans nos collections: marbres, bronzes, terres cuites, intailles, fresques et peintures de vases, nous obtiendrions en quelque sorte la suite cinématographique à peu près complète du jeu de disque, car, avec leur merveilleuse faculté d'observation, les artistes antiques ont reproduit toutes les poses et tous les gestes successifs des éphèbes adonnés à cet exercice. Base circulaire, le bronze ayant servi de poignée de ciste. Patine verte. Acheté à Naples. — Catalogue de la vente Tyszkiewicz (Paris, 1898), n. 123. Haut. 0.10. — Socle en porphyre. BRONZES ÉTRUSQUES 135
170;(Pl. 150). — Satyre dansant. Le danseur, sans vêtement, a la barbe taillée en coin, et ses cheveux retombent sur le dos en longues mèches frisées. — Figurine d'ancien style, très fruste. Achetée à Rome. Haut. 0.09. — Le nez, les oreilles et la queue de cheval manquent. — Patine vert olive foncé.
171;(Pl. 150). — Sacrificateur. Jeune homme nu, la chlamyde sur l'épaule et le bras gauches, une patère à la main droite avancée. Ressemblance accidentelle avec Auguste jeune. Acheté à Rome. Haut. 0.10. — Patine vert clair.
172;"(Pl. 151). — Miroir gravé. Un dieu marin, barbu, aux cheveux hérissés, la chlamyde sur le dos, poursuit Persée qui vient de couper la tête à Méduse, et le menace de son trident. C'est le père de Méduse, Phorkys (parcius). Il est arrêté dans sa course par Minerve (menrva) qui lui oppose l'égide déployée. Persée (perse), en tunique courte, avec double bandoulière, chapeau plat et bottines ailées, se dirige vers la droite, sans que ses pieds touchent les flots de la mer qu'il traverse. Instinctivement, sa tête se retourne en arrière; il porte une lance sur l'épaule, sa main droite tient la harpe, et à son bras gauche est suspendue une sacoche, d'où émergent les cheveux de la tête coupée. Une déesse (meanpe) le précède, ailée, drapée et diadémée, la même, sans doute, qui, sur d'autres miroirs, s'appelle Mean et joue le rôle de la Niké grecque. Dans le bas, on distingue un poisson. 136 BRONZES ÉTRUSQUES Il n'existe pas d'autre monument antique figurant cette scène. Bordure de lierre en fleur; palmette au bas de la bordure et au sommet du manche, face et revers. Vente Castellani (Rome, 1884), n. 429. — A. Kœrte, *Etruskische Spiegel*, t. V, pl. 68. Diam. 0.185. — Patine verte. ---"
173;"(Pl. 152). — *Casque étrusque.* Sur le bassin (πρῶνος), deux arêtes saillantes, formées chacune de deux lames, courent parallèlement; elles retenaient le cimier. Au bas des arêtes on voit, d'un côté, un poucier, et de l'autre, juste au dessus des bords, un crochet. Les bords, très larges, sont ornés d'un cercle en relief et d'un rang de têtes de clous. On retrouve ces clous sur des casques provenant des fouilles d'Olympie (*Bronzen von Olympia*, pl. 62). Lorsque, en décembre 1612, le Prince-Evêque de Bamberg alla en Italie, on lui fit remarquer à Pesaro, dans l'arsenal du Marquis del Monte, le casque d'Hasdrubal (*galea Asdrubalis*). C'était, sans doute, un de ces casques étrusques. Haut. 0.21. — Long. 0.29. — Larg. 0.27. Patine verte rugueuse (à l'extérieur) et bleue (à l'intérieur). ---"
